Accession	TDL	Gene Symbol01	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	P value 2h	P value 6h	P value 10h	P value 24h	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	Count	Selected	Quantity_Change	Source
P07305	Tchem	H1F0	-0.111530227	-0.423428617	-0.247317478	-2.72085268	0.366187906	0.004562387	0.175786629	0.000261526	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P04181	Tchem	OAT	-0.163150275	-0.337716072	-0.723129074	-4.301882491	0.455474892	0.04334162	0.005242752	6.92E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P16403	Tbio	HIST1H1C	-0.205989611	-0.349962693	-0.117147549	-2.649646439	0.038667002	0.091659275	0.548138908	0.000136156	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P09211	Tchem	GSTP1	-0.065279774	-0.18047988	-0.176001925	-1.141163813	0.886298585	0.655137913	0.642869923	0.040064518	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P27487	Tclin	DPP4	-0.008530045	-0.145376622	-0.323635782	-2.823490318	0.860994186	0.029503885	0.004288167	2.03E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P10412	Tbio	HIST1H1E	-0.469419537	-0.458986179	-0.16200742	-2.580564649	0.006777177	0.086186249	0.480858184	8.04E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P07602	Tbio	PSAP	-0.198473844	-0.400003754	-0.746539941	-1.88366317	0.471834821	0.011493193	0.004285324	0.004546737	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O60701	Tbio	UGDH	-0.053486443	-0.19734015	-0.64232531	-1.712410465	0.690278684	0.151456037	0.074595312	0.018798451	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P42766	Tbio	RPL35	-0.279516576	-0.167936006	-0.230861306	-2.275578798	0.146917132	0.27756448	0.015607943	8.94E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P02786	Tbio	TFRC	-0.139039658	-0.087521656	-0.942971519	-2.909942543	0.826616821	0.843583938	0.088838948	0.007258552	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9UQN3	Tbio	CHMP2B	-0.078520071	-0.077533033	-0.257920986	-1.43086694	0.705899872	0.568908008	0.024926629	0.001181267	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P55061	Tbio	TMBIM6	-0.181952583	-0.349543969	-0.545087246	-3.062672617	0.2709872	0.0340871	0.005777396	0.00016895	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P02649	Tbio	APOE	-0.128628075	-0.220483383	-0.575934185	-5.382773662	0.42668621	0.202010866	0.076484026	0.000417923	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q15056	Tchem	EIF4H	-0.038101124	-0.055751601	-0.183430984	-0.950422859	0.82310749	0.684631329	0.31465036	0.016548869	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
