gene_symbol	uniprot	tdl	tdl_priority
TMEM115	Q12893	Tbio	3
TMEM116	Q8NCL8	Tdark	4
TMEM117	Q9H0C3	Tbio	3
TMEM119	Q4V9L6	Tbio	3
TMEM120A	Q9BXJ8	Tdark	4
TMEM120B	A0PK00	Tdark	4
TMEM121	Q9BTD3	Tdark	4
TMEM121B	Q9BXQ6	Tdark	4
TMEM123	Q8N131	Tbio	3
TMEM125	Q96AQ2	Tdark	4
TMEM126A	Q9H061	Tbio	3
TMEM126B	Q8IUX1	Tdark	4
TMEM127	O75204	Tbio	3
TMEM128	Q5BJH2	Tdark	4
TMEM129	A0AVI4	Tbio	3
TMEM130	Q8N3G9	Tdark	4
TMEM131	Q92545	Tdark	4
TMEM131L	A2VDJ0	Tbio	3
TMEM132A	Q24JP5	Tdark	4
TMEM132B	Q14DG7	Tdark	4
TMEM132C	Q8N3T6	Tdark	4
TMEM132D	Q14C87	Tbio	3
TMEM132E	Q6IEE7	Tdark	4
TMEM132E-DT	A2RUQ5	Tdark	4
TMEM134	Q9H6X4	Tdark	4
TMEM135	Q86UB9	Tdark	4
TMEM138	Q9NPI0	Tdark	4
TMEM139	Q8IV31	Tdark	4
TMEM140	Q9NV12	Tdark	4
TMEM141	Q96I45	Tdark	4
TMEM143	Q96AN5	Tdark	4
TMEM144	Q7Z5S9	Tdark	4
TMEM145	Q8NBT3	Tdark	4
TMEM147	Q9BVK8	Tdark	4
TMEM14A	Q9Y6G1	Tbio	3
TMEM14B	Q9NUH8	Tbio	3
TMEM14C	Q9P0S9	Tdark	4
TMEM14DP	A8MWL7	Tdark	4
TMEM14EP	Q6UXP3	Tdark	4
TMEM150A	Q86TG1	Tbio	3
TMEM150B	A6NC51	Tdark	4
TMEM150C	B9EJG8	Tdark	4
TMEM151A	Q8N4L1	Tdark	4
TMEM151B	Q8IW70	Tdark	4
TMEM154	Q6P9G4	Tdark	4
TMEM156	Q8N614	Tdark	4
TMEM158	Q8WZ71	Tbio	3
TMEM159	Q96B96	Tdark	4
TMEM160	Q9NX00	Tdark	4
TMEM161A	Q9NX61	Tdark	4
TMEM161B	Q8NDZ6	Tbio	3
TMEM163	Q8TC26	Tbio	3
TMEM164	Q5U3C3	Tdark	4
TMEM165	Q9HC07	Tbio	3
TMEM167A	Q8TBQ9	Tdark	4
TMEM167B	Q9NRX6	Tdark	4
TMEM168	Q9H0V1	Tdark	4
TMEM169	Q96HH4	Tdark	4
TMEM17	Q86X19	Tbio	3
TMEM170A	Q8WVE7	Tdark	4
TMEM170B	Q5T4T1	Tdark	4
TMEM171	Q8WVE6	Tdark	4
TMEM174	Q8WUU8	Tdark	4
TMEM175	Q9BSA9	Tbio	3
TMEM176A	Q96HP8	Tbio	3
TMEM176B	Q3YBM2	Tbio	3
