gene_symbol	uniprot
ALG8	E9PP96
ALG8	E9PR58
ALG8	H0YCV0
ALG8	H0YD42
ALG8	H0YDD3
ALG8	H0YDV4
ALG8	H0YEE0
ALG8	L8E8S9
ALG8	Q9BVK2
AMMECR1	A0A0S2Z4V0
AMMECR1	A0A0S2Z4X0
AMMECR1	Q9Y4X0
ANO3	A0A5F9ZHL6
ANO3	E9PKW2
ANO3	E9PQ79
ANO3	Q9BYT9
ANO4	A0A2R8Y532
ANO4	F8VUH1
ANO4	F8VW62
ANO4	Q32M45
ANO5	A0A346A6F2
ANO5	Q75V66
ANO6	A0A7P0T8Y2
ANO6	A0A7P0TAF4
ANO6	A0A7P0TAW4
ANO6	A0A7P0TBC5
ANO6	A0A7P0TBD5
ANO6	A0A7P0TBI1
ANO6	F8VX71
ANO6	Q4KMQ2
ANO8	M0QYD2
ANO8	Q9HCE9
ANO9	A1A5B4
ANXA4	A0A0U1RRE7
ANXA4	A0A1Y8EKW3
ANXA4	B4E1S2
ANXA4	P09525
ANXA4	Q6LES2
ANXA4	Q6P452
AP2A2	A0A0G2JQA4
AP2A2	A0A0G2JQM1
AP2A2	A0A0G2JQT9
AP2A2	A0A0G2JRF9
AP2A2	A0A0G2JRS3
AP2A2	A0A0G2JS17
AP2A2	A0A0G2JS82
AP2A2	E9PNC4
AP2A2	E9PPY8
AP2A2	E9PPZ3
AP2A2	E9PQP4
AP2A2	E9PR62
AP2A2	E9PS94
AP2A2	H0YDE9
AP2A2	H0YEG0
AP2A2	O94973
AP2M1	A0A087WY71
AP2M1	C9JGT8
AP2M1	C9JJ47
AP2M1	C9JJD3
AP2M1	C9JPV8
AP2M1	C9JTK4
AP2M1	E9PFW3
AP2M1	H7C4C3
AP2M1	Q96CW1
AP3B1	A0A0S2Z4X7
AP3B1	A0A0S2Z4Z4
AP3B1	A0A0S2Z5J4
AP3B1	H0YBD0
AP3B1	L8EA53
AP3B1	O00203
APLP2	A0A024R3N3
APLP2	E9PK76
APLP2	E9PPD0
APLP2	E9PQS3
APLP2	E9PSC7
APLP2	L8E7K0
APLP2	Q06481
APLP2	Q9UED0
APOE	A0A0S2Z3B1
APOE	A0A0S2Z3D5
APOE	A0A0S2Z3J5
APOE	A0A0S2Z3V0
APOE	A0A346DBY2
APOE	D9ZB55
APOE	E7ERP7
APOE	E9PEV4
APOE	H0Y7L5
APOE	J9ZVQ3
APOE	P02649
APOE	Q8TCZ8
APP	A0A0A0MRG2
APP	A0A218KGR2
APP	E9PG40
APP	H7C0V9
APP	H7C2L2
APP	L7XCZ9
APP	L7XE61
APP	L8EC46
APP	P05067
APP	Q9BYY9
ARF6	P62330
ARF6	Q6FH17
ARID1A	A0A087WUV6
ARID1A	A0A0S2Q0B1
ARID1A	A0A1B0GTU5
ARID1A	A0A1B0GVT5
ARID1A	A4FU79
ARID1A	C1KEN7
ARID1A	E9PQW6
ARID1A	H0Y488
ARID1A	H0YCU6
ARID1A	H0YEW5
ARID1A	O14497
ARID1B	A0A1B0GTE8
ARID1B	A0A1B0GTI6
ARID1B	A0A1B0GTJ8
ARID1B	A0A1B0GU09
ARID1B	A0A1B0GU65
ARID1B	A0A1B0GUC6
ARID1B	A0A1B0GUG2
ARID1B	A0A1B0GV63
ARID1B	A0A1B0GV92
ARID1B	A0A1B0GVH0
ARID1B	A0A1B0GVK1
ARID1B	A0A1B0GWI8
ARID1B	A0A1B0GWJ2
ARID1B	A0A3F2YNW7
ARID1B	A0A6I8PTU7
ARID1B	A0A6Q8NVI4
ARID1B	H0Y2R3
ARID1B	H0Y3S9
ARID1B	H0Y7H8
ARID1B	L8EAX2
ARID1B	Q8NFD5
ARL6IP6	H7C0H7
ARL6IP6	H7C192
ARL6IP6	Q8N6S5
ATE1	B3KWA3
ATE1	F5GXE4
ATE1	F8WAC9
ATE1	H0Y5C2
ATE1	O95260
ATF2	A4D7U3
ATF2	A4D7U7
ATF2	A4D7U9
ATF2	A4D7V5
ATF2	B8ZZU6
ATF2	C9JCI8
ATF2	E9PBF9
ATF2	E9PEK8
ATF2	F2Z2K2
ATF2	F5H629
ATF2	H7C2N6
ATF2	P15336
ATP13A1	A0A024R7N2
ATP13A1	A0A024R7P3
ATP13A1	H7C3H2
ATP13A1	Q9HD20
ATP13A3	A0A2R8Y635
ATP13A3	A0A2R8YDN7
ATP13A3	C9JAP7
ATP13A3	H7C1U7
ATP13A3	Q9H7F0
ATP1B1	A3KLL5
ATP1B1	L0R585
ATP1B1	P05026
ATP1B1	Q58I20
ATP1B1	Q6LEU2
ATP1B1	V9GYR2
ATP1B2	I3L1V9
ATP1B2	I3L3J8
ATP1B2	P14415
ATP1B2	Q58I19
ATP2B4	A0A024R968
ATP2B4	A1X4Q1
ATP2B4	A1X4Q2
ATP2B4	A7E2D8
ATP2B4	H0YDG5
ATP2B4	H7BY13
ATP2B4	H7BZS8
ATP2B4	P23634
ATP4B	P51164
ATP5MG	A0A3B3IRW3
ATP5MG	A0A3B3ISE7
ATP5MG	E9PN17
ATP5MG	O75964
ATP6AP1	A0A0C4DGX8
ATP6AP1	A0A7I2V2G3
ATP6AP1	A0A7I2V3T8
ATP6AP1	A0A7I2YQA5
ATP6AP1	A6NLC6
ATP6AP1	A6QRJ1
ATP6AP1	F2Z3L8
ATP6AP1	H7C0T7
