gene	is_in_crispr	is_in_drugcentral	is_in_hats	is_in_jdti	is_in_natdt	is_in_phipster	is_in_preprint	is_in_string	is_in_taiml	node_type	target_type	tdl	tdl_priority	uniprot	metadata
CYB5B	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O43169	metadata
CYB5R3	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P00387	metadata
CYCS	False	True	True	False	True	False	False	True	False	target	human	Tchem	2.0	P99999	metadata
DCAF7	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P61962	metadata
DCAKD	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q8WVC6	metadata
DCTPP1	False	False	False	False	False	False	True	True	False	target	human	Tchem	2.0	Q9H773	metadata
DDX10	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q13206	metadata
DDX20	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q9UHI6	metadata;role_crispr:sensitization_anti-viral
DDX21	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q9NR30	metadata
DDX39B	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q13838	metadata
DDX42	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q86XP3	metadata;role_crispr:sensitization_anti-viral
DDX5	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P17844	metadata
DENR	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	O43583	metadata;role_crispr:sensitization_anti-viral
DHFR	False	True	False	True	False	False	False	True	False	target	human	Tclin	1.0	P00374	metadata
DHRS9	False	True	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9BPW9	metadata
DHX15	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	O43143	metadata
DIAPH3	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9NSV4	metadata
DNAJC11	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9NVH1	metadata
DNAJC19	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96DA6	metadata
DNMT1	False	True	False	True	False	False	True	True	False	target	human	Tclin	1.0	P26358	metadata
DOLK	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q9UPQ8	metadata;role_crispr:sensitization_anti-viral
DOOH	False	False	False	True	False	False	False	False	False	target	human	unk	6.0		metadata
DPF2	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q92785	metadata;role_crispr:resistance_pro_viral
DPH5	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9H2P9	metadata
DPP4	False	True	False	True	False	False	False	True	False	target	human	Tclin	1.0	P27487	metadata
DPY19L1	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q2PZI1	metadata
DSCAML1	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8TD84	metadata
DUSP1	False	False	True	False	False	False	False	False	False	target	human	Tchem	2.0	P28562	metadata
DUT	False	False	False	False	True	False	False	True	False	target	human	Tchem	2.0	P33316	metadata
DYRK1A	True	True	False	False	False	False	False	True	False	target	human	Tchem	2.0	Q13627	metadata;role_crispr:resistance_pro_viral
ECSIT	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9BQ95	metadata
EDEM3	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9BZQ6	metadata
EEF1A1	False	False	False	False	False	False	False	True	False	target	human	Tchem	2.0	P68104	metadata
EEF1D	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	P29692	metadata
EEF2	False	False	False	False	True	False	False	True	False	target	human	Tchem	2.0	P13639	metadata
EGF	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P01133	metadata
EIF2A	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	Q9BY44	metadata
EIF2AK4	True	True	False	False	False	False	False	True	False	target	human	Tchem	2.0	Q9P2K8	metadata;role_crispr:sensitization_anti-viral
EIF2D	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P41214	metadata;role_crispr:resistance_pro_viral
EIF2S1	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P05198	metadata
EIF3A	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q14152	metadata;role_crispr:resistance_pro_viral
EIF3B	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P55884	metadata;role_crispr:resistance_pro_viral
EIF3D	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	O15371	metadata;role_crispr:resistance_pro_viral
EIF3L	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q9Y262	metadata;role_crispr:sensitization_anti-viral
EIF4A3	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P38919	metadata
EIF4E	False	True	False	False	False	False	False	True	False	target	human	Tchem	2.0	P06730	metadata
EIF4E2	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	O60573	metadata
EIF4G1	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q04637	metadata
EIF4H	False	False	False	False	False	False	True	True	False	target	human	Tchem	2.0	Q15056	metadata
ELAVL1	False	False	True	False	True	False	False	True	False	target	human	Tchem	2.0	Q15717	metadata
ELOB	False	False	False	False	False	False	True	False	False	target	human	Tbio	3.0	Q15370	metadata
ELOC	False	False	False	False	False	False	True	False	False	target	human	Tbio	3.0	Q15369	metadata
EMC1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q8N766	metadata
EMSY	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q7Z589	metadata;role_crispr:sensitization_anti-viral
ENO2	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	P09104	metadata
EP300	False	False	True	False	False	True	False	True	True	target	human	Tchem	2.0	Q09472	metadata
EPRS1	False	False	False	False	False	False	False	True	False	target	human	Tchem	2.0	P07814	metadata
ERBB2	False	True	True	False	False	False	False	False	False	target	human	Tclin	1.0	P04626	metadata
ERC1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q8IUD2	metadata
ERCC2	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P18074	metadata;role_crispr:sensitization_anti-viral
ERCC3	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P19447	metadata;role_crispr:sensitization_anti-viral
ERGIC1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q969X5	metadata
ERLEC1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96DZ1	metadata
ERMP1	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q7Z2K6	metadata
ERO1B	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q86YB8	metadata
ERP44	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9BS26	metadata
ETFA	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P13804	metadata
EXOSC2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q13868	metadata
EXOSC3	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9NQT5	metadata
EXOSC5	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9NQT4	metadata
EXOSC8	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96B26	metadata
EZR	False	False	True	False	False	True	False	True	False	target	human	Tbio	3.0	P15311	metadata
F2RL1	False	False	False	False	False	False	True	True	False	target	human	Tchem	2.0	P55085	metadata
FAM162A	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96A26	metadata
FAM8A1	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q9UBU6	metadata
FAM98A	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q8NCA5	metadata
FAR2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96K12	metadata
FAS	False	False	True	False	False	False	False	False	False	target	human	Tbio	3.0	P25445	metadata
FASTKD5	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q7L8L6	metadata
FBL	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P22087	metadata
FBLN5	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9UBX5	metadata
FBN1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P35555	metadata
FBN2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P35556	metadata
FBXL12	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q9NXK8	metadata
FCAMR	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8WWV6	metadata
